University_ID,Region,Institution_Type,Student_Scale,Faculty_Scale,Education_Budget_wan,Per100_Computers,Network_Coverage_%,IT_Budget_Ratio_%,IT_Staff_Ratio_%,Info_System_Count,Data_Governance_Score,Online_Service_Rate_%,Digital_Literacy_Score,Cybersecurity_Investment_%,System_Uptime_%,Management_Status
UNI0697,East,Undergraduate,22498.74,3163.06,430187.42,70.23,99.87,5.5,0.7,85.04,45.24,46.39,61.9,5.46,98.53,Optimal
UNI0698,East,Undergraduate,19286.03,2926.78,315983.03,45.16,100.0,4.75,0.37,104.97,64.87,41.76,60.14,8.62,98.0,Optimal
UNI0699,East,Undergraduate,30352.13,3385.95,284419.41,68.83,99.91,2.96,0.8,58.39,57.79,45.01,55.03,14.08,99.04,Optimal
UNI0700,West,Vocational,13330.82,1519.18,52746.84,30.47,97.24,2.16,0.36,46.87,98.39,73.29,60.19,11.63,97.96,Suboptimal
UNI0701,Central,Vocational,7388.29,705.76,349915.13,10.0,96.18,2.24,0.34,48.77,70.84,77.68,64.35,13.61,98.72,Suboptimal
UNI0702,East,Vocational,21440.32,1601.7,130027.85,54.18,99.7,4.48,1.19,70.64,78.48,75.45,51.43,12.6,99.87,Optimal
UNI0703,East,Vocational,22785.33,1197.91,287843.74,78.03,100.0,4.51,0.72,58.38,33.18,63.7,87.13,11.61,100.0,Optimal
UNI0704,Central,Vocational,19281.53,777.93,116348.35,46.72,97.53,3.37,0.05,21.06,62.4,65.06,56.51,2.71,98.84,Suboptimal
UNI0705,East,Vocational,3934.94,203.46,84793.91,29.96,98.75,3.43,0.35,44.42,71.19,68.93,100.0,11.52,97.3,Optimal
UNI0706,Central,Undergraduate,25344.91,3134.3,199962.2,48.38,98.55,4.86,0.31,61.6,55.36,55.18,72.43,12.73,97.32,Suboptimal
UNI0707,East,Vocational,7362.49,200.0,51049.24,50.98,100.0,3.11,0.47,13.23,80.0,68.21,71.16,16.25,99.6,Suboptimal
UNI0708,West,Undergraduate,38736.13,2412.81,323612.54,75.09,100.0,2.77,0.45,106.95,55.8,71.43,87.41,10.0,100.0,Optimal
UNI0709,East,Undergraduate,17367.95,695.62,266106.74,24.13,97.92,1.87,0.77,56.24,53.64,28.79,46.26,1.0,96.91,Suboptimal
UNI0710,Central,Vocational,4118.83,1415.26,381302.81,43.12,96.3,5.12,0.48,17.57,74.65,56.62,69.36,1.0,98.79,Suboptimal
UNI0711,East,Vocational,14597.64,420.65,127681.63,45.49,99.26,2.71,0.21,14.1,41.03,76.65,88.07,14.73,99.25,Optimal
UNI0712,West,Vocational,12515.95,1252.15,213089.43,38.03,99.81,4.0,0.68,37.15,63.81,31.45,80.67,14.62,99.67,Suboptimal
UNI0713,West,Vocational,9398.51,200.0,124572.51,24.42,97.49,3.17,0.41,30.43,55.85,49.96,78.86,1.0,96.45,Suboptimal
UNI0714,Central,Undergraduate,6765.44,1333.55,305982.89,33.08,98.37,2.62,0.38,26.73,26.41,5.0,70.48,7.15,97.7,Suboptimal
UNI0715,Central,Undergraduate,26170.69,2630.01,248290.95,65.66,99.55,5.47,0.87,106.46,97.88,77.29,77.74,13.79,98.09,Optimal
UNI0716,East,Undergraduate,36230.12,3037.15,336915.37,69.5,99.46,4.68,0.94,127.88,89.85,73.18,96.67,19.86,98.46,Optimal
UNI0717,West,Undergraduate,25072.08,3865.08,67807.99,49.15,100.0,5.14,0.79,80.98,100.0,98.46,87.39,12.21,97.41,Optimal
UNI0718,Central,Undergraduate,15361.56,2676.29,333651.43,52.31,98.46,3.62,0.82,54.49,74.48,83.68,61.57,12.72,99.04,Optimal
UNI0719,East,Undergraduate,12256.11,2937.94,359726.03,48.88,97.5,3.16,1.02,64.85,60.65,82.08,69.05,10.32,97.59,Optimal
UNI0720,Central,Vocational,10602.8,1051.86,50417.4,43.81,96.29,1.66,0.48,56.79,59.97,30.96,54.4,3.6,96.74,Suboptimal
UNI0721,Central,Vocational,20279.87,836.64,292402.93,70.48,98.57,3.37,0.67,13.04,85.51,44.96,82.8,14.5,100.0,Optimal
UNI0722,West,Vocational,3888.75,200.0,10000.0,13.62,96.89,3.03,0.77,5.0,30.99,13.56,44.29,7.17,98.34,Suboptimal
UNI0723,Central,Vocational,27678.08,3840.83,176143.64,60.24,100.0,3.79,0.74,31.57,66.21,71.14,56.63,1.34,100.0,Optimal
UNI0724,Central,Vocational,26474.95,1447.57,192204.05,58.76,98.84,2.4,0.69,61.43,31.14,46.17,65.68,16.06,99.39,Suboptimal
UNI0725,Central,Vocational,3000.0,1019.1,218888.99,44.68,95.01,2.92,0.12,78.66,100.0,74.72,80.24,12.36,98.11,Optimal
UNI0726,East,Vocational,3000.0,200.0,10000.0,48.97,97.7,0.98,0.07,5.0,55.78,23.01,32.79,1.0,98.74,Suboptimal
UNI0727,East,Vocational,10441.37,200.0,136738.1,36.84,97.7,4.9,0.49,60.67,15.78,27.49,67.09,7.1,97.41,Suboptimal
UNI0728,East,Undergraduate,15297.57,1357.9,282401.82,61.23,97.86,4.6,0.72,57.35,77.7,70.97,60.66,14.04,97.57,Optimal
UNI0729,West,Vocational,26680.17,3226.45,199738.03,39.97,100.0,2.1,0.75,24.58,54.69,81.9,84.74,9.55,100.0,Optimal
UNI0730,East,Undergraduate,28522.44,3017.18,339860.49,57.53,98.72,4.04,0.85,116.16,65.35,33.48,70.78,3.49,98.91,Optimal
UNI0731,East,Undergraduate,15753.27,3075.53,260193.1,43.24,99.63,2.27,0.73,108.53,85.6,49.11,87.28,10.58,97.81,Optimal
UNI0732,East,Undergraduate,23722.17,1299.75,101685.99,52.25,98.0,1.46,0.25,66.7,64.15,63.57,64.34,7.11,98.45,Optimal
UNI0733,East,Undergraduate,27838.13,526.51,420063.79,44.86,100.0,3.88,0.82,86.31,85.96,59.69,56.64,16.51,100.0,Optimal
UNI0734,Central,Vocational,15682.47,200.0,58730.14,56.51,98.46,3.61,0.43,37.25,67.08,54.25,80.89,10.97,99.35,Suboptimal
UNI0735,East,Vocational,16052.35,1307.4,71957.12,66.84,98.98,2.89,0.52,38.42,58.5,62.52,50.69,12.08,99.1,Optimal
UNI0736,East,Vocational,16339.67,546.71,147206.96,34.13,97.25,1.45,0.22,31.6,86.46,42.22,73.5,13.1,98.86,Suboptimal
UNI0737,West,Undergraduate,24017.14,1928.2,140640.52,56.77,97.26,0.81,0.37,81.75,50.62,39.14,76.25,13.83,96.93,Suboptimal
UNI0738,East,Vocational,7036.05,950.5,172820.14,57.26,98.41,2.76,0.32,84.86,73.99,77.3,65.56,9.4,99.55,Optimal
UNI0739,East,Vocational,4192.76,1876.27,43836.9,37.39,96.09,3.83,0.61,34.69,66.37,48.95,65.31,10.11,97.5,Suboptimal
UNI0740,East,Undergraduate,18527.44,1395.45,429615.77,71.12,98.69,1.57,0.66,66.55,67.38,66.79,65.13,3.52,97.35,Optimal
UNI0741,West,Vocational,3000.0,354.49,210100.59,31.1,97.02,3.14,0.2,16.38,62.82,20.95,51.37,8.33,96.02,Suboptimal
UNI0742,East,Undergraduate,17642.9,2482.28,241411.89,66.11,100.0,3.24,0.7,99.23,54.89,45.22,66.71,14.57,98.23,Optimal
UNI0743,West,Undergraduate,34427.74,2487.79,358942.95,57.57,98.34,4.78,0.67,138.92,74.39,53.37,99.21,20.17,97.6,Optimal
UNI0744,West,Vocational,17702.84,529.33,123138.31,52.65,100.0,2.84,0.67,68.6,48.67,26.52,58.15,9.83,98.22,Suboptimal
UNI0745,Central,Undergraduate,12302.3,1656.72,174737.72,57.04,100.0,2.06,0.62,85.6,42.18,60.31,92.52,5.58,98.5,Suboptimal
UNI0746,East,Vocational,9084.37,2441.02,106225.55,51.52,100.0,3.47,0.4,59.68,78.25,57.15,80.23,7.51,99.89,Optimal
UNI0747,Central,Undergraduate,15900.92,3639.33,304633.44,41.38,100.0,3.89,1.04,115.94,58.2,63.46,77.01,8.53,98.31,Optimal
UNI0748,Central,Vocational,10901.92,1666.53,10000.0,33.54,98.17,1.85,0.6,87.4,47.46,62.69,44.0,10.47,98.78,Suboptimal
UNI0749,East,Undergraduate,10616.81,736.34,153474.71,56.67,97.52,0.5,0.06,18.06,92.71,57.09,71.39,9.08,99.88,Optimal
UNI0750,Central,Vocational,3549.43,200.0,104850.47,64.92,99.57,4.62,0.53,56.4,66.95,30.44,68.81,9.78,95.87,Suboptimal
UNI0751,East,Vocational,21575.76,2944.79,264751.2,63.08,99.41,4.6,0.59,17.64,79.92,72.41,96.68,22.64,100.0,Optimal
UNI0752,East,Vocational,3000.0,1003.71,10000.0,69.68,96.27,3.22,0.31,42.49,33.95,31.89,56.6,11.13,99.38,Suboptimal
UNI0753,East,Vocational,6154.53,920.73,37136.7,45.57,98.95,3.42,0.05,47.79,80.74,56.04,80.64,13.92,99.16,Suboptimal
UNI0754,East,Vocational,5853.37,478.38,151828.94,45.76,97.5,3.9,0.46,24.12,66.48,27.04,71.24,9.26,96.26,Suboptimal
UNI0755,East,Vocational,17791.2,200.0,169077.4,65.14,97.81,2.58,0.7,5.0,50.2,55.33,67.72,5.68,99.27,Suboptimal
UNI0756,Central,Undergraduate,26537.64,3031.04,392363.7,79.47,98.55,2.38,0.69,78.8,55.2,74.92,67.85,16.04,98.36,Optimal
UNI0757,West,Vocational,24927.71,2569.68,226458.68,62.99,98.56,4.81,0.41,63.11,100.0,89.29,81.01,23.37,97.63,Optimal
UNI0758,East,Vocational,3000.0,342.58,59916.83,29.85,98.27,2.94,0.9,36.7,46.46,45.0,69.81,1.74,100.0,Suboptimal
UNI0759,Central,Vocational,20631.27,1094.58,242770.44,59.27,99.09,3.46,0.95,46.81,62.64,71.62,68.27,12.02,98.59,Optimal
UNI0760,Central,Undergraduate,3000.0,2969.78,17629.95,56.38,100.0,4.28,0.49,51.58,53.4,45.09,75.84,3.87,99.67,Suboptimal
UNI0761,East,Undergraduate,33192.18,1624.36,431616.53,56.49,97.09,3.95,0.58,71.79,78.78,67.51,98.43,15.78,99.95,Optimal
UNI0762,East,Undergraduate,17986.43,3632.1,269311.65,53.57,100.0,4.53,0.23,59.98,84.02,85.85,74.92,19.64,99.04,Optimal
UNI0763,East,Undergraduate,35653.74,1119.65,323627.88,31.76,96.67,1.08,0.48,65.2,70.0,44.95,82.31,7.44,97.77,Optimal
UNI0764,East,Vocational,11377.81,753.39,17447.08,45.07,100.0,4.18,0.19,41.23,57.71,37.77,71.09,5.6,99.28,Suboptimal
UNI0765,East,Vocational,14440.79,1610.65,59192.77,16.62,96.4,3.83,0.81,21.43,55.34,14.3,61.2,1.0,98.25,Suboptimal
UNI0766,East,Vocational,17242.49,742.37,136933.34,37.3,97.58,4.28,0.73,46.15,54.42,62.54,52.67,4.25,98.84,Suboptimal
UNI0767,Central,Undergraduate,25431.29,3631.4,341735.2,76.61,100.0,5.65,0.82,98.06,100.0,69.24,79.62,21.02,100.0,Optimal
UNI0768,East,Vocational,9192.81,1355.38,87149.7,38.45,100.0,3.28,0.15,65.72,46.68,27.87,55.41,9.41,99.87,Suboptimal
UNI0769,East,Vocational,3000.0,1029.05,11217.72,10.0,96.22,1.66,0.53,38.95,77.26,63.97,87.47,12.39,96.11,Suboptimal
UNI0770,East,Vocational,21002.17,1543.21,84935.91,38.39,96.88,4.38,0.61,33.65,44.09,45.04,56.03,5.24,100.0,Suboptimal
UNI0771,Central,Undergraduate,30633.28,3122.12,251441.56,80.11,100.0,6.86,1.06,137.55,55.0,57.66,75.31,11.77,100.0,Optimal
UNI0772,East,Undergraduate,6635.09,2552.04,308721.98,47.41,97.24,4.94,0.56,56.1,34.43,65.26,47.48,7.89,96.82,Suboptimal
UNI0773,Central,Undergraduate,33591.21,2475.06,186548.7,52.66,100.0,4.84,0.89,91.4,79.32,62.51,63.73,14.06,98.41,Optimal
UNI0774,East,Vocational,3000.0,1641.93,10000.0,12.41,95.77,3.07,0.3,43.81,71.93,23.07,48.7,13.66,95.92,Suboptimal
UNI0775,East,Vocational,13086.75,1836.62,66193.54,36.29,100.0,2.47,0.2,72.76,37.83,62.78,62.62,4.43,97.87,Suboptimal
UNI0776,West,Undergraduate,19583.56,1646.56,216849.37,57.83,99.61,4.73,0.83,100.72,50.5,42.78,47.73,8.51,97.38,Suboptimal
UNI0777,East,Undergraduate,3000.0,276.98,277927.81,31.85,96.78,0.5,0.71,69.18,61.04,94.5,50.43,3.04,96.57,Suboptimal
UNI0778,East,Vocational,6957.79,1473.69,100722.11,42.73,98.6,1.96,0.51,19.71,50.33,36.05,29.34,1.0,98.02,Suboptimal
UNI0779,East,Undergraduate,38677.22,2573.77,409745.3,64.72,100.0,3.65,0.94,93.77,75.6,46.32,100.0,19.65,100.0,Optimal
UNI0780,West,Vocational,10992.41,694.23,133921.78,50.48,98.11,1.95,0.83,40.62,42.21,81.86,64.85,17.31,99.29,Suboptimal
UNI0781,Central,Undergraduate,16463.46,2481.86,155516.26,56.25,95.81,2.71,0.16,36.27,52.58,38.67,56.79,7.87,98.94,Suboptimal
UNI0782,Central,Vocational,7585.8,397.56,314856.34,34.58,97.58,1.39,0.19,33.63,67.3,54.68,45.94,9.36,96.96,Suboptimal
UNI0783,West,Vocational,5847.38,338.2,10000.0,22.39,96.79,4.83,0.27,67.18,77.02,69.44,86.36,20.41,96.42,Suboptimal
UNI0784,East,Undergraduate,13941.07,1409.68,117971.73,55.34,100.0,1.27,0.56,71.99,63.39,34.1,85.83,11.06,96.75,Suboptimal
UNI0785,West,Undergraduate,33236.85,1353.26,224736.98,68.28,99.63,2.89,0.65,121.45,73.07,48.64,89.77,20.47,100.0,Optimal
UNI0786,East,Vocational,17615.38,1086.49,163310.46,76.94,100.0,1.56,0.21,15.21,62.23,81.19,53.95,8.94,100.0,Optimal
UNI0787,Central,Vocational,3000.0,200.0,10000.0,22.87,94.26,2.28,0.3,17.15,68.45,33.91,74.04,11.87,97.37,Suboptimal
UNI0788,East,Undergraduate,28896.37,2099.65,353538.76,50.33,99.09,5.38,0.75,92.37,61.15,99.58,91.36,13.76,98.34,Optimal
UNI0789,East,Vocational,14891.72,200.0,10000.0,38.61,97.16,1.9,0.34,26.52,59.63,65.77,77.53,14.07,97.08,Suboptimal
UNI0790,West,Undergraduate,3000.0,325.04,135861.55,50.74,95.55,3.3,0.26,35.15,56.78,45.83,64.42,1.0,96.58,Optimal
UNI0791,East,Undergraduate,12047.75,1443.57,300020.83,44.17,100.0,2.62,0.2,88.42,61.0,47.17,77.98,10.62,100.0,Optimal
UNI0792,West,Undergraduate,25625.06,2583.96,410502.13,76.46,100.0,4.75,0.81,96.14,54.82,100.0,75.46,11.5,99.4,Optimal
UNI0793,East,Undergraduate,3397.49,1985.42,218962.81,41.43,95.58,3.23,1.0,44.14,52.1,43.06,76.79,10.86,98.42,Suboptimal
UNI0794,Central,Undergraduate,34434.97,2134.01,274503.86,91.45,99.09,3.83,0.64,87.55,71.01,64.5,76.49,25.47,100.0,Optimal
UNI0795,West,Undergraduate,18343.37,3563.65,105496.95,60.94,100.0,4.3,0.76,84.69,74.86,69.68,36.15,13.24,100.0,Optimal
UNI0796,East,Vocational,20665.97,740.99,10000.0,25.83,100.0,0.85,0.33,43.84,100.0,47.95,60.76,15.89,98.43,Optimal
UNI0797,West,Undergraduate,11933.3,2256.66,356318.08,47.79,99.26,5.38,0.68,26.55,58.56,32.78,53.02,11.1,98.47,Suboptimal
UNI0798,Central,Vocational,3300.4,1961.62,67503.54,48.78,94.34,3.41,0.44,46.45,40.11,50.04,63.68,1.0,97.21,Optimal
UNI0799,Central,Vocational,17681.15,581.39,111873.51,40.96,99.83,0.6,0.32,40.64,52.37,58.43,68.78,6.84,98.89,Optimal
UNI0800,East,Undergraduate,18602.94,2381.81,283796.18,54.52,97.61,2.88,0.6,56.46,73.71,95.93,77.95,14.23,98.36,Optimal
UNI0801,Central,Vocational,18865.44,2272.34,369513.58,62.64,100.0,4.95,0.97,93.22,81.49,96.65,98.0,2.73,100.0,Optimal
UNI0802,Central,Undergraduate,30654.36,2328.1,69750.8,54.07,97.84,2.88,0.47,89.02,94.71,41.45,70.95,11.77,100.0,Optimal
UNI0803,Central,Undergraduate,18541.68,1999.42,354927.31,55.4,99.56,1.75,0.41,84.33,88.59,76.97,44.29,10.15,97.18,Optimal
UNI0804,East,Undergraduate,10680.05,2003.79,253556.63,41.96,97.38,4.1,0.83,80.18,70.84,39.89,69.59,3.37,96.55,Suboptimal
UNI0805,East,Vocational,3853.57,1383.41,83911.44,70.7,98.55,2.7,0.7,55.12,68.23,47.31,62.56,7.17,99.2,Suboptimal
UNI0806,West,Undergraduate,29579.76,843.6,232743.41,47.83,100.0,4.71,0.74,79.33,85.51,47.54,52.21,15.2,100.0,Optimal
UNI0807,East,Vocational,15182.34,2279.13,212470.92,48.46,96.76,1.94,0.74,18.4,70.3,60.1,72.23,1.0,99.25,Suboptimal
UNI0808,Central,Vocational,20858.26,2690.82,169521.53,53.54,100.0,5.59,0.45,33.12,65.03,40.95,55.84,11.56,97.69,Suboptimal
UNI0809,West,Vocational,7283.49,703.5,29201.49,41.08,96.56,2.94,0.43,31.64,56.39,16.86,53.39,14.31,99.46,Suboptimal
UNI0810,East,Vocational,3000.0,1567.37,10000.0,26.2,96.49,3.28,0.42,71.73,37.02,84.93,90.1,11.55,100.0,Suboptimal
UNI0811,East,Vocational,3000.0,2894.72,124821.48,43.23,100.0,5.25,0.74,83.37,87.28,76.19,71.55,18.0,98.78,Optimal
UNI0812,Central,Vocational,30228.58,299.72,210703.62,47.87,99.96,1.38,0.66,80.04,59.37,41.76,49.46,3.86,97.66,Suboptimal
UNI0813,East,Vocational,16839.2,1762.13,10000.0,38.09,98.33,2.48,1.02,13.93,20.22,33.19,79.3,3.52,99.06,Suboptimal
UNI0814,Central,Undergraduate,24422.95,2396.32,290623.62,34.38,97.47,6.53,0.99,81.51,98.3,96.35,80.33,15.19,99.07,Optimal
UNI0815,Central,Vocational,10544.43,2215.14,287531.96,44.68,96.57,1.79,0.45,69.0,58.82,55.75,49.16,8.33,99.69,Suboptimal
UNI0816,Central,Vocational,3000.0,441.53,88692.08,28.46,96.29,2.3,0.54,15.44,61.54,30.41,33.29,2.45,98.56,Suboptimal
UNI0817,East,Undergraduate,14551.32,3334.87,362771.57,61.8,98.85,3.82,0.26,70.7,76.8,43.1,76.25,12.04,98.39,Suboptimal
UNI0818,Central,Undergraduate,27452.16,2526.17,190487.74,42.61,97.2,6.07,0.88,81.59,45.47,66.57,46.7,6.19,97.21,Suboptimal
UNI0819,Central,Vocational,16008.52,2200.49,10000.0,41.52,99.06,1.97,0.55,69.39,55.63,43.0,42.74,3.8,97.04,Suboptimal
UNI0820,East,Vocational,5235.29,204.64,123389.33,44.37,98.88,0.97,0.39,17.27,39.5,49.74,51.0,1.77,100.0,Suboptimal
UNI0821,Central,Vocational,11667.6,3188.44,230633.89,46.31,100.0,7.82,0.86,86.65,61.84,76.95,95.06,17.03,100.0,Optimal
UNI0822,West,Vocational,3558.92,1203.33,175048.16,27.99,97.06,1.0,0.19,42.01,57.2,46.68,65.52,1.0,98.04,Suboptimal
UNI0823,Central,Vocational,21146.05,2386.45,245415.01,61.71,99.81,4.45,0.71,30.37,68.8,59.82,73.77,4.34,100.0,Optimal
UNI0824,Central,Undergraduate,34240.81,2417.8,588773.99,38.86,98.45,2.82,0.49,75.65,94.47,60.47,74.23,6.96,98.46,Optimal
UNI0825,East,Vocational,7688.41,567.13,60216.46,49.5,97.93,2.31,0.74,32.38,73.25,82.08,71.87,15.81,96.43,Suboptimal
UNI0826,East,Vocational,3000.0,200.0,93676.83,33.01,97.87,1.3,0.74,46.88,53.48,76.3,74.41,14.44,96.43,Suboptimal
UNI0827,East,Vocational,3447.86,1927.36,30133.0,14.76,95.94,2.51,0.96,79.4,64.26,71.95,81.26,10.86,97.38,Suboptimal
UNI0828,East,Vocational,24841.28,1624.42,333334.86,57.26,100.0,5.58,0.59,60.82,72.59,62.06,86.45,17.64,100.0,Optimal
UNI0829,West,Undergraduate,15230.37,2606.94,225500.53,62.4,97.53,0.81,0.37,54.75,53.99,68.18,56.03,10.06,99.36,Suboptimal
UNI0830,East,Vocational,17010.59,1129.12,10000.0,43.91,98.38,4.21,0.27,89.0,75.45,36.53,67.16,11.14,100.0,Optimal
UNI0831,West,Undergraduate,27205.56,3501.62,261356.14,55.91,99.67,5.51,0.54,70.19,74.4,85.31,74.31,15.1,98.11,Optimal
UNI0832,East,Undergraduate,29743.85,2902.94,390008.61,75.16,98.45,4.42,0.46,49.68,58.46,49.07,75.66,11.8,99.18,Optimal
UNI0833,East,Undergraduate,13026.33,200.0,334250.98,80.65,99.62,3.47,0.47,95.98,56.0,83.16,68.23,9.89,98.55,Optimal
UNI0834,East,Undergraduate,16992.88,3091.69,159497.77,68.93,96.46,4.64,0.99,84.81,81.53,83.7,75.51,5.53,97.23,Optimal
UNI0835,East,Vocational,9232.88,1511.16,158227.58,41.46,98.15,5.75,0.55,67.68,70.6,73.8,84.16,20.07,100.0,Optimal
UNI0836,West,Vocational,11347.37,1516.73,235131.06,41.98,96.5,0.5,0.61,76.78,55.92,39.33,55.18,5.57,98.11,Suboptimal
UNI0837,West,Vocational,25349.89,1844.45,138081.94,61.08,100.0,4.38,0.91,23.01,79.46,65.45,59.0,17.55,100.0,Optimal
UNI0838,West,Vocational,3711.55,761.99,34507.27,49.75,99.29,1.09,0.35,18.9,74.96,45.41,59.37,3.7,98.39,Suboptimal
UNI0839,East,Vocational,23025.0,303.85,144826.37,29.49,99.86,3.21,0.63,5.0,70.17,86.04,67.61,11.38,98.25,Suboptimal
UNI0840,West,Vocational,14413.22,200.0,10000.0,33.85,99.69,2.14,0.15,45.74,58.14,55.83,64.36,3.82,99.06,Suboptimal
UNI0841,East,Vocational,3000.0,466.53,10000.0,16.71,98.16,3.5,0.3,24.95,57.28,34.49,65.81,16.16,98.39,Suboptimal
UNI0842,West,Vocational,3000.0,200.0,10000.0,33.29,96.76,0.5,0.36,5.0,59.34,75.67,85.35,8.52,100.0,Optimal
UNI0843,Central,Undergraduate,17935.86,1494.55,331984.9,55.28,98.14,1.42,0.65,83.31,75.96,77.59,75.52,8.89,100.0,Optimal
UNI0844,East,Vocational,24669.16,200.0,146515.04,44.15,99.99,2.17,0.68,29.38,59.45,66.92,51.38,21.43,98.8,Optimal
UNI0845,East,Undergraduate,28886.4,1377.28,352648.11,43.4,100.0,5.78,0.53,57.05,84.8,61.97,63.74,17.23,98.34,Optimal
UNI0846,East,Vocational,15237.07,200.0,10000.0,43.45,95.4,1.83,0.05,5.0,85.68,40.06,81.78,13.21,97.94,Suboptimal
UNI0847,East,Vocational,8833.05,629.74,117134.05,46.1,99.82,2.43,0.24,25.05,33.9,21.17,42.7,1.0,100.0,Suboptimal
UNI0848,West,Undergraduate,20058.69,1227.97,110834.07,38.81,95.87,3.3,0.27,15.91,40.67,56.33,58.36,1.0,99.89,Suboptimal
UNI0849,West,Undergraduate,15897.45,2200.39,350861.52,62.2,99.89,3.83,0.54,89.72,80.51,52.35,100.0,20.6,98.64,Optimal
UNI0850,West,Undergraduate,19782.5,403.56,200484.61,30.19,97.64,2.85,0.25,74.26,34.94,55.5,57.83,1.0,98.76,Suboptimal
UNI0851,East,Vocational,7005.72,671.12,261169.91,56.05,97.59,2.2,0.41,52.85,91.73,67.8,57.3,10.43,98.57,Optimal
UNI0852,Central,Undergraduate,26979.99,2585.36,369069.24,87.61,100.0,4.86,1.3,89.1,84.16,97.38,68.88,11.39,100.0,Optimal
UNI0853,East,Vocational,10094.1,1240.45,106665.07,22.42,94.63,3.19,0.34,54.64,44.0,59.51,66.04,3.26,97.09,Suboptimal
UNI0854,Central,Vocational,7453.74,200.0,87276.49,29.46,98.52,0.67,0.34,5.0,33.99,24.04,73.39,1.64,98.61,Suboptimal
UNI0855,East,Vocational,33907.26,1941.46,290165.01,58.23,100.0,3.49,0.9,54.7,46.62,31.96,77.14,5.53,99.45,Suboptimal
UNI0856,East,Vocational,3000.0,200.0,10000.0,27.23,98.38,1.8,0.19,18.88,95.66,63.03,75.76,9.86,98.54,Suboptimal
UNI0857,Central,Undergraduate,36148.11,1726.67,40699.42,46.84,99.98,1.78,0.5,33.59,87.49,74.95,60.62,9.3,96.59,Optimal
UNI0858,East,Undergraduate,17138.51,2726.46,344414.3,69.94,98.49,3.32,0.75,83.39,41.18,61.17,66.95,13.91,98.75,Suboptimal
UNI0859,Central,Undergraduate,24944.79,2910.1,142400.86,64.91,97.12,4.57,0.9,46.6,78.36,65.47,39.34,1.09,98.03,Optimal
UNI0860,Central,Vocational,25096.35,2125.49,10000.0,68.89,98.31,2.47,0.66,30.59,75.93,64.86,80.12,15.91,99.25,Optimal
UNI0861,East,Vocational,8750.87,200.0,28920.97,48.45,100.0,2.87,0.22,9.21,80.54,63.48,71.67,12.03,99.59,Suboptimal
UNI0862,West,Vocational,18911.1,878.81,138787.22,33.51,100.0,2.8,0.72,38.01,32.78,30.21,85.71,11.05,99.02,Suboptimal
UNI0863,Central,Vocational,19007.81,860.11,10000.0,37.67,100.0,1.74,0.11,41.76,79.33,85.55,90.99,12.93,96.29,Optimal
UNI0864,West,Vocational,5604.52,988.53,66272.01,44.48,98.44,1.63,0.38,46.14,62.97,45.49,95.84,9.1,98.46,Suboptimal
UNI0865,Central,Vocational,19871.1,2297.32,104905.21,52.89,100.0,3.98,0.49,40.04,69.5,22.89,84.31,12.4,100.0,Suboptimal
UNI0866,Central,Undergraduate,20917.03,3441.64,178701.07,58.32,100.0,4.69,0.84,74.02,60.61,88.13,81.47,9.49,100.0,Optimal
UNI0867,Central,Undergraduate,21607.49,2438.97,435515.25,67.46,97.93,2.53,1.11,74.85,83.18,79.3,84.02,6.47,97.66,Optimal
UNI0868,West,Undergraduate,22182.78,1663.73,234631.1,47.07,96.8,3.81,0.4,93.9,66.66,63.43,75.23,9.58,99.61,Optimal
UNI0869,Central,Undergraduate,21490.04,1116.6,303028.23,53.77,96.02,4.87,0.58,28.92,77.92,18.3,36.72,6.72,99.08,Suboptimal
UNI0870,East,Undergraduate,24405.04,1812.2,90733.6,39.33,99.14,2.61,0.32,90.13,53.26,58.43,61.4,1.85,99.13,Optimal
UNI0871,East,Undergraduate,18546.55,1844.62,87372.87,60.02,99.41,2.67,0.99,63.52,71.72,65.78,69.86,6.63,97.29,Optimal
UNI0872,Central,Vocational,3000.0,200.0,88166.37,10.0,97.76,3.21,0.38,40.72,58.03,39.01,48.65,7.82,96.29,Suboptimal
UNI0873,East,Undergraduate,14150.54,1125.22,371272.42,49.5,98.26,1.69,0.49,75.7,63.86,57.16,34.79,1.48,98.82,Suboptimal
UNI0874,East,Undergraduate,29403.19,2786.89,171665.38,73.33,95.9,3.24,0.76,97.11,48.67,75.28,87.51,10.25,98.93,Optimal
UNI0875,East,Undergraduate,29747.19,3839.77,290788.46,60.78,97.72,3.04,0.79,115.76,74.34,65.37,72.15,4.77,98.8,Optimal
UNI0876,Central,Vocational,9885.67,1270.62,10000.0,24.44,98.03,3.17,0.19,5.0,63.4,18.49,83.66,2.96,97.1,Suboptimal
UNI0877,East,Vocational,14297.84,545.17,10000.0,18.77,96.63,1.89,0.7,56.54,60.28,54.94,88.1,17.3,98.39,Suboptimal
UNI0878,Central,Undergraduate,31175.61,3606.76,333021.59,65.28,99.37,4.31,1.0,89.95,68.52,91.76,91.76,16.95,99.63,Optimal
UNI0879,West,Undergraduate,18401.01,1945.67,121404.37,63.06,99.08,2.09,0.69,51.75,100.0,63.8,86.64,5.44,98.45,Optimal
UNI0880,West,Undergraduate,14673.11,2880.91,197895.52,33.11,96.7,6.08,0.72,135.12,70.68,71.82,69.07,17.42,97.73,Optimal
